,Overstromingsbeeld primaire keringen,Overstromingsbeeld regionale keringen,Bodemdaling Huidig,inundatiediepte T100,Bodemberging bij grondwaterstand gelijk aan streefpeil,Point,Lng,Lat
0,0.0,2.140000104904175,2.227001905441284,0.0,9.0,A,4.838104248046875,52.64289417560374
1,2.7232000827789307,0.6819000244140625,1.2659900188446045,0.0,85.0,B,4.900074005126953,52.66714390813096
2,0.7930999994277954,0.0,33.84299850463867,0.0,88.0,C,5.014593601226807,52.6717111925721
3,3.473099946975708,0.0,0.308991402387619,0.6032862067222595,0.0,D,5.026888847351074,52.66672749378105
4,0.8230999708175659,0.0,3.0247011184692383,0.0,81.0,E,5.01227617263794,52.67389707431727
5,3.283099889755249,0.0,1.648010015487671,0.0,14.0,F,4.988501071929932,52.66542617336263
6,0.0,0.8209999799728394,33.16999816894531,0.0,16.0,G,4.891523122787476,52.60231122152178
7,2.213200092315674,0.0,2.7700018882751465,0.0,9.0,H,4.948782920837402,52.61675501537913
8,2.213200092315674,0.0,2.7700018882751465,0.0,11.0,I,4.948917031288147,52.61687226619806
9,0.0,0.7343000173568726,2.4036030769348145,0.0,23.0,J,4.883497953414917,52.624512434233765
10,0.0,1.3009999990463257,1.4559919834136963,0.030829356983304,0.0,K,4.893029183149338,52.62299899876568
11,0.0,2.7799999713897705,1.327003002166748,0.0,12.0,L,4.872071743011475,52.63604506346595
12,0.0,0.0,2.514004945755005,0.0592446625232696,31.0,M,4.877825081348419,52.636675005201646
13,2.44320011138916,0.6003999710083008,2.5390100479125977,0.0466896034777164,8.0,N,4.887886047363281,52.63095636433401
14,0.9932000041007996,0.1946000009775161,1.6530059576034546,0.0,11.0,O,4.943804740905762,52.66253710353119
15,1.5232000350952148,0.0,1.9889999628067017,0.0,163.0,P,4.9462080001831055,52.66367583628981
16,0.0,0.0,2.3601999282836914,0.0024756286293268,85.0,Q,4.929449558258056,52.70268065442596
17,0.0,0.0,2.752600908279419,0.0,36.0,R,4.933837652206421,52.704962498736016
18,0.0,1.7699999809265137,1.1630009412765503,0.1004551872611045,21.0,S,4.875065088272095,52.68981298035509
19,0.0,1.940000057220459,1.3969990015029907,0.0,31.0,T,4.8705053329467765,52.68870094165082
20,2.5731000900268555,0.1071000024676323,2.655998945236206,0.0,7.0,U,4.971227645874023,52.62670718903448
21,0.2585000097751617,1.3309999704360962,1.4409979581832886,0.1604002863168716,0.0,V,4.899237155914306,52.62052642598083
22,0.0,0.8145999908447266,2.3549931049346924,0.0,2.0,W,4.952430725097656,52.60870304134942
23,0.0,0.9789000153541564,3.4639909267425537,0.0,1.0,X,4.941508769989014,52.5991768691367
24,2.683199882507324,0.6381000280380249,1.093008041381836,0.1113694086670875,2.0,Y,4.917615652084351,52.636969626000976
25,2.723099946975708,0.0,67.55400085449219,0.0,18.0,Z,5.03570795059204,52.65433735181671
26,3.193099975585937,0.0,50.8029899597168,0.2280730456113815,0.0,a,5.030332803726196,52.65424623482422
27,0.442900002002716,0.0,2.276901960372925,0.0,56.0,b,4.983544349670409,52.689260216118136
